,Constitutency,Margin,Runner,Runner_Party,Serial_no,Winner,Winner_Party,prev_winner,prev_winner_margin,prev_winner_party
47,Ellisbridge,85205,DAVE_VIJAYKUMAR_RATILAL,Indian_National_Congress,44,SHAH_RAKESHBHAI_JASVANTLAL_(RAKESH_SHAH),Bharatiya_Janata_Party,SHRI_RAKESH_SHAH,76672,Bharatiya_Janata_Party
48,Fatepura,2711,MACHHAR_RAGHUBHAI_DITABHAI,Indian_National_Congress,129,KATARA_RAMESHBHAI_BHURABHAI,Bharatiya_Janata_Party,KATARA__RAMESHBHAI_BHURABHAI,6264,Bharatiya_Janata_Party
49,Gadhada,9424,ATMARAM_MAKANBHAI_PARMAR,Bharatiya_Janata_Party,106,MARU_PRAVINBHAI_TIDABHAI,Indian_National_Congress,ATMARAM_MAKANBHAI_PARMAR,9094,Bharatiya_Janata_Party
50,Gandevi,57261,SURESHBHAI_MAGANBHAI_HALPATI,Indian_National_Congress,176,PATEL_NARESHBHAI_MAGANBHAI,Bharatiya_Janata_Party,PATEL_MANGUBHAI_CHHAGANBHAI,26177,Bharatiya_Janata_Party
51,Gandhidham,20270,KISHOR_GANGJIBHAI_PINGOL,Indian_National_Congress,5,MAHESHWARI_MALTI_KISHOR,Bharatiya_Janata_Party,MAHESHWARI_RAMESH_VACHCHHRAJ,21313,Bharatiya_Janata_Party
52,Gandhinagar_North,5736,ASHOKKUMAR_RANCHHODBHAI_PATEL,Bharatiya_Janata_Party,36,DR._C._J._CHAVDA,Indian_National_Congress,PATEL_ASHOKKUMAR_RANCHHODBHAI,4225,Bharatiya_Janata_Party
53,Gandhinagar_South,11538,GOVINDJI_HIRAJI_SOLANKI,Indian_National_Congress,35,THAKOR_SHAMBHUJI_CHELAJI,Bharatiya_Janata_Party,THAKOR_SHAMBHUJI_CHELAJI,8011,Bharatiya_Janata_Party
54,Garbada,16128,BHABHOR_MAHENDRABHAI_RAMESHBHAI,Bharatiya_Janata_Party,133,BARIYA_CHANDRIKABEN_CHHAGANBHAI,Indian_National_Congress,BARIYA_CHANDRIKABEN_CHHAGANBHAI,35774,Indian_National_Congress
55,Gariadhar,1876,KHENI_PARESHBHAI_MANJIBHAI,Indian_National_Congress,101,NAKRANI_KESHUBHAI_HIRJIBHAI,Bharatiya_Janata_Party,KESHUBHAI_HIRJIBHAI_NAKRANI,16028,Bharatiya_Janata_Party
56,Ghatlodia,117750,PATEL_SHASHIKANT_(BHURABHAI),Indian_National_Congress,41,PATEL_BHUPENDRABHAI_RAJNIKANT,Bharatiya_Janata_Party,PATEL_ANANDIBEN_MAFATBHAI,110395,Bharatiya_Janata_Party
